year,rank,song,artist,artist_original,artist_clean
1999,19,Smooth,"Santana,Rob Thomas","Santana,Rob Thomas",Santana
1999,20,Unpretty,TLC,TLC,TLC
1999,21,"Bills, Bills, Bills",Destiny's Child,Destiny's Child,Destiny's Child
1999,22,Save Tonight,Eagle-Eye Cherry,Eagle-Eye Cherry,Eagle-Eye Cherry
1999,23,Last Kiss,Pearl Jam,Pearl Jam,Pearl Jam
1999,24,Fortunate,Maxwell,Maxwell,Ma
1999,25,All I Have to Give,Backstreet Boys,Backstreet Boys,Backstreet Boys
1999,26,Bailamos,Enrique Iglesias,Enrique Iglesias,Enrique Iglesias
1999,27,What's It Gonna Be?!,"Busta Rhymes,Janet","Busta Rhymes,Janet",Busta Rhymes
1999,28,What It's Like,Everlast,Everlast,Everlast
1999,29,Fly Away,Lenny Kravitz,Lenny Kravitz,Lenny Kravitz
1999,30,Someday,Sugar Ray,Sugar Ray,Sugar Ray
1999,31,Lately,Divine,Divine,Divine
1999,32,That Don't Impress Me Much,Shania Twain,Shania Twain,Shania Twain
1999,33,Wild Wild West,"Will Smith,Dru Hill,Kool Moe Dee","Will Smith,Dru Hill,Kool Moe Dee",Will Smith
1999,34,Scar Tissue,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers
1999,35,Heartbreaker,"Mariah Carey,Jay-Z","Mariah Carey,Jay-Z",Mariah Carey
1999,36,I Still Believe,Mariah Carey,Mariah Carey,Mariah Carey
1999,37,The Hardest Thing,98 Degrees,98 Degrees,98 Degrees
1999,38,Summer Girls,LFO,LFO,LFO
1999,39,Can I Get A...,"Jay-Z,Amil,Ja Rule","Jay-Z,Amil,Ja Rule",Jay-Z
1999,40,Jumper,Third Eye Blind,Third Eye Blind,Third Eye Blind
1999,41,Doo Wop (That Thing),Lauryn Hill,Lauryn Hill,Lauryn Hill
1999,42,Mambo No. 5,Lou Bega,Lou Bega,Lou Bega
1999,43,Sweet Lady,Tyrese,Tyrese,Tyrese
1999,44,It's Not Right but It's Okay,Whitney Houston,Whitney Houston,Whitney Houston
1999,45,(God Must Have Spent) A Little More Time on You,NSYNC,NSYNC,NSYNC
1999,46,Lullaby,Shawn Mullins,Shawn Mullins,Shawn Mullins
1999,47,Anywhere,"112,Lil Zane","112,Lil Zane",112
1999,48,Tell Me It's Real,K-Ci & JoJo,K-Ci & JoJo,K-Ci
1999,49,Back 2 Good,Matchbox 20,Matchbox 20,Matchbo
1999,50,808,Blaque,Blaque,Blaque
1999,51,She's So High,Tal Bachman,Tal Bachman,Tal Bachman
1999,52,She's All I Ever Had,Ricky Martin,Ricky Martin,Ricky Martin
1999,53,Miami,Will Smith,Will Smith,Will Smith
1999,54,Hands,Jewel,Jewel,Jewel
1999,55,Who Dat,"JT Money,Solé","JT Money,Solé",JT Money
1999,56,Please Remember Me,Tim McGraw,Tim McGraw,Tim McGraw
1999,57,From This Moment On,Shania Twain,Shania Twain,Shania Twain
1999,58,Love Like This,Faith Evans,Faith Evans,Faith Evans
1999,59,You,Jesse Powell,Jesse Powell,Jesse Powell
1999,60,Trippin',"Total,Missy Elliott","Total,Missy Elliott",Total
1999,61,Silk,,,
1999,62,Ex-Factor,Lauryn Hill,Lauryn Hill,Lauryn Hill
1999,63,Give It to You,Jordan Knight,Jordan Knight,Jordan Knight
1999,64,Black Balloon,Goo Goo Dolls,Goo Goo Dolls,Goo Goo Dolls
1999,65,Spend My Life with You,"Eric Benét,Tamia","Eric Benét,Tamia",Eric Benét
1999,66,These Are the Times,Dru Hill,Dru Hill,Dru Hill
1999,67,I Don't Want to Miss a Thing,Mark Chesnutt,Mark Chesnutt,Mark Chesnutt
1999,68,I Do (Cherish You),98 Degrees,98 Degrees,98 Degrees
1999,69,Because of You,,,
1999,70,I Will Remember You,Sarah McLachlan,Sarah McLachlan,Sarah McLachlan
1999,71,Chanté's Got a Man,Chanté Moore,Chanté Moore,Chanté Moore
1999,72,Happily Ever After,Case,Case,Case
1999,73,My Love Is Your Love,Whitney Houston,Whitney Houston,Whitney Houston
1999,74,All Night Long,"Faith Evans,Puff Daddy","Faith Evans,Puff Daddy",Faith Evans
1999,75,Back That Thang Up,"Juvenile,Mannie Fresh,Lil Wayne","Juvenile,Mannie Fresh,Lil Wayne",Juvenile
1999,76,Almost Doesn't Count,Brandy,Brandy,Br
1999,77,Man! I Feel Like a Woman!,Shania Twain,Shania Twain,Shania Twain
1999,78,Steal My Sunshine,Len,Len,Len
1999,79,I Need to Know,Marc Anthony,Marc Anthony,Marc Anthony
1999,80,So Anxious,Ginuwine,Ginuwine,Ginuwine
1999,81,Case,Joe,Joe,Joe
1999,82,Back at One,Brian McKnight,Brian McKnight,Brian McKnight
1999,83,When a Woman's Fed Up,R. Kelly,R. Kelly,R. Kelly
1999,84,How Forever Feels,Kenny Chesney,Kenny Chesney,Kenny Chesney
1999,85,Amazed,Lonestar,Lonestar,Lonestar
1999,86,Sometimes,Britney Spears,Britney Spears,Britney Spears
1999,87,Ghetto Cowboy,Mo Thugs,Mo Thugs,Mo Thugs
1999,88,Out of My Head,Fastball,Fastball,Fastball
1999,89,Hard Knock Life (Ghetto Anthem),Jay-Z,Jay-Z,Jay-Z
1999,90,Jamboree,"Naughty by Nature,Zhané","Naughty by Nature,Zhané",Naughty by Nature
1999,91,Take Me There,"Blackstreet,Mýa,Mase,Blinky Blink","Blackstreet,Mýa,Mase,Blinky Blink",Blackstreet
1999,92,Stay the Same,Joey McIntyre,Joey McIntyre,Joey McIntyre
1999,93,A Lesson in Leavin',Jo Dee Messina,Jo Dee Messina,Jo Dee Messina
1999,94,Iris,Goo Goo Dolls,Goo Goo Dolls,Goo Goo Dolls
1999,95,Satisfy You,"Puff Daddy,R. Kelly","Puff Daddy,R. Kelly",Puff Daddy
1999,96,Better Days (And the Bottom Drops Out),Citizen King,Citizen King,Citizen King
1999,97,Music of My Heart,"NSYNC,Gloria Estefan","NSYNC,Gloria Estefan",NSYNC
1999,98,Write This Down,George Strait,George Strait,George Strait
1999,99,When You Believe,"Whitney Houston,Mariah Carey","Whitney Houston,Mariah Carey",Whitney Houston
1999,100,(God Must Have Spent) A Little More Time on You,"Alabama,NSYNC","Alabama,NSYNC",Alabama
2000,1,Breathe,Faith Hill,Faith Hill,Faith Hill
2000,2,Smooth,"Santana,Rob Thomas","Santana,Rob Thomas",Santana
2000,3,Maria Maria,"Santana,The Product G&B","Santana,The Product G&B",Santana
2000,4,I Wanna Know,Joe,Joe,Joe
2000,5,Everything You Want,Vertical Horizon,Vertical Horizon,Vertical Horizon
2000,6,Say My Name,Destiny's Child,Destiny's Child,Destiny's Child
2000,7,I Knew I Loved You,Savage Garden,Savage Garden,Savage Garden
2000,8,Amazed,Lonestar,Lonestar,Lonestar
2000,9,Bent,Matchbox Twenty,Matchbox Twenty,Matchbo
2000,10,He Wasn't Man Enough,Toni Braxton,Toni Braxton,Toni Bra
2000,11,Higher,Creed,Creed,Creed
2000,12,Try Again,Aaliyah,Aaliyah,Aaliyah
2000,13,"Jumpin', Jumpin'",Destiny's Child,Destiny's Child,Destiny's Child
2000,14,Thong Song,Sisqó,Sisqó,Sisqó
2000,15,Kryptonite,3 Doors Down,3 Doors Down,3 Doors Down
2000,16,There You Go,Pink,Pink,Pink
2000,17,Music,Madonna,Madonna,Madonna
2000,18,Doesn't Really Matter,Janet Jackson,Janet Jackson,Janet Jackson
2000,19,What a Girl Wants,Christina Aguilera,Christina Aguilera,Christina Aguilera
2000,20,Back at One,Brian McKnight,Brian McKnight,Brian McKnight
2000,21,Bye Bye Bye,NSYNC,NSYNC,NSYNC
2000,22,You Sang to Me,Marc Anthony,Marc Anthony,Marc Anthony
2000,23,I Need to Know,,,
2000,24,Get It On Tonite,Montell Jordan,Montell Jordan,Montell Jordan
2000,25,Incomplete,Sisqó,Sisqó,Sisqó
2000,26,I Try,Macy Gray,Macy Gray,Macy Gray
2000,27,It's Gonna Be Me,NSYNC,NSYNC,NSYNC
2000,28,That's the Way It Is,Celine Dion,Celine Dion,Celine Dion
2000,29,Country Grammar (Hot Shit),Nelly,Nelly,Nelly
2000,30,Bring It All to Me,Blaque,Blaque,Blaque
2000,31,Show Me the Meaning of Being Lonely,Backstreet Boys,Backstreet Boys,Backstreet Boys
2000,32,Hot Boyz,"Missy Elliott,Nas,Eve,Q-Tip","Missy Elliott,Nas,Eve,Q-Tip",Missy Elliott
2000,33,Back Here,BBMak,BBMak,BBMak
2000,34,It Feels So Good,Sonique,Sonique,Sonique
2000,35,Absolutely (Story of a Girl),Nine Days,Nine Days,Nine Days
2000,36,With Arms Wide Open,Creed,Creed,Creed
2000,37,Be with You,Enrique Iglesias,Enrique Iglesias,Enrique Iglesias
2000,38,Come On Over Baby (All I Want Is You),Christina Aguilera,Christina Aguilera,Christina Aguilera
2000,39,No More,Ruff Endz,Ruff Endz,Ruff Endz
2000,40,All the Small Things,Blink-182,Blink-182,Blink-182
2000,41,The Way You Love Me,Faith Hill,Faith Hill,Faith Hill
2000,42,I Turn to You,Christina Aguilera,Christina Aguilera,Christina Aguilera
2000,43,Never Let You Go,Third Eye Blind,Third Eye Blind,Third Eye Blind
2000,44,I Need You,LeAnn Rimes,LeAnn Rimes,LeAnn Rimes
2000,45,Thank God I Found You,"Mariah Carey,Joe,98 Degrees","Mariah Carey,Joe,98 Degrees",Mariah Carey
2000,46,Let's Get Married,Jagged Edge,Jagged Edge,Jagged Edge
2000,47,My Love Is Your Love,Whitney Houston,Whitney Houston,Whitney Houston
2000,48,Then the Morning Comes,Smash Mouth,Smash Mouth,Smash Mouth
2000,49,Blue (Da Ba Dee),Eiffel 65,Eiffel 65,Eiffel 65
2000,50,Desert Rose,"Sting,Cheb Mami","Sting,Cheb Mami",Sting
2000,51,The Real Slim Shady,Eminem,Eminem,Eminem
2000,52,Most Girls,Pink,Pink,Pink
2000,53,Wifey,Next,Next,Ne
2000,54,Wonderful,Everclear,Everclear,Everclear
2000,55,Oops!... I Did It Again,Britney Spears,Britney Spears,Britney Spears
2000,56,I Wanna Love You Forever,Jessica Simpson,Jessica Simpson,Jessica Simpson
2000,57,Give Me Just One Night (Una Noche),98 Degrees,98 Degrees,98 Degrees
2000,58,Take a Picture,Filter,Filter,Filter
2000,59,Otherside,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers
2000,60,Big Pimpin',"Jay-Z,UGK","Jay-Z,UGK",Jay-Z
2000,61,Purest of Pain (A Puro Dolor),Son by Four,Son by Four,Son by Four
2000,62,He Can't Love U,Jagged Edge,Jagged Edge,Jagged Edge
2000,63,Separated,Avant,Avant,Avant
2000,64,I Wish,Carl Thomas,Carl Thomas,Carl Thomas
2000,65,U Know What's Up,Donell Jones,Donell Jones,Donell Jones
2000,66,Faded,"soulDecision,Thrust","soulDecision,Thrust",soulDecision
2000,67,Only God Knows Why,Kid Rock,Kid Rock,Kid Rock
2000,68,Shake Ya Ass,Mystikal,Mystikal,Mystikal
2000,69,Bag Lady,Erykah Badu,Erykah Badu,Erykah Badu
2000,70,Meet Virginia,Train,Train,Train
2000,71,Party Up (Up in Here),DMX,DMX,DM
2000,72,Case of the Ex (Whatcha Gonna Do),Mýa,Mýa,Mýa
2000,73,Forgot About Dre,"Dr. Dre,Eminem","Dr. Dre,Eminem",Dr. Dre
2000,74,That's the Way,Jo Dee Messina,Jo Dee Messina,Jo Dee Messina
2000,75,Swear It Again,Westlife,Westlife,Westlife
2000,76,The Next Episode,"Dr. Dre,Snoop Dogg","Dr. Dre,Snoop Dogg",Dr. Dre
2000,77,From the Bottom of My Broken Heart,Britney Spears,Britney Spears,Britney Spears
2000,78,Crash and Burn,Savage Garden,Savage Garden,Savage Garden
2000,79,Yes!,Chad Brock,Chad Brock,Chad Brock
2000,80,The Best Day,George Strait,George Strait,George Strait
2000,81,Where I Wanna Be,Donell Jones,Donell Jones,Donell Jones
2000,82,How Do You Like Me Now?!,Toby Keith,Toby Keith,Toby Keith
2000,83,My Best Friend,Tim McGraw,Tim McGraw,Tim McGraw
2000,84,Broadway,Goo Goo Dolls,Goo Goo Dolls,Goo Goo Dolls
2000,85,What'chu Like,"Da Brat,Tyrese","Da Brat,Tyrese",Da Brat
2000,86,Don't Think I'm Not,Kandi,Kandi,K
2000,87,I Hope You Dance,"Lee Ann Womack,Sons of the Desert","Lee Ann Womack,Sons of the Desert",Lee Ann Womack
2000,88,Better Off Alone,Alice Deejay,Alice Deejay,Alice Deejay
2000,89,Dance with Me,Debelah Morgan,Debelah Morgan,Debelah Morgan
2000,90,What About Now,Lonestar,Lonestar,Lonestar
2000,91,I Like It,Sammie,Sammie,Sammie
2000,92,24/7,Kevon Edmonds,Kevon Edmonds,Kevon Edmonds
2000,93,Girl on TV,LFO,LFO,LFO
2000,94,Bounce with Me,"Lil' Bow Wow,Xscape","Lil' Bow Wow,Xscape",Lil' Bow Wow
2000,95,Cowboy Take Me Away,Dixie Chicks,Dixie Chicks,Di
2000,96,I Don't Wanna,Aaliyah,Aaliyah,Aaliyah
2000,97,Independent Women Part I,Destiny's Child,Destiny's Child,Destiny's Child
2000,98,Gotta Tell You,Samantha Mumba,Samantha Mumba,Samantha Mumba
2000,99,Waiting for Tonight,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez
2000,100,Shackles (Praise You),Mary Mary,Mary Mary,Mary Mary
2001,1,Hanging by a Moment,Lifehouse,Lifehouse,Lifehouse
2001,2,Fallin',Alicia Keys,Alicia Keys,Alicia Keys
2001,3,All for You,Janet Jackson,Janet Jackson,Janet Jackson
2001,4,Drops of Jupiter (Tell Me),Train,Train,Train
2001,5,I'm Real,"Jennifer Lopez,Ja Rule","Jennifer Lopez,Ja Rule",Jennifer Lopez
2001,6,If You're Gone,Matchbox Twenty,Matchbox Twenty,Matchbo
2001,7,Let Me Blow Ya Mind,"Eve,Gwen Stefani","Eve,Gwen Stefani",Eve
2001,8,Thank You,Dido,Dido,Dido
2001,9,Again,Lenny Kravitz,Lenny Kravitz,Lenny Kravitz
2001,10,Independent Women Part I,Destiny's Child,Destiny's Child,Destiny's Child
2001,11,Hit 'Em Up Style (Oops!),Blu Cantrell,Blu Cantrell,Blu Cantrell
2001,12,It Wasn't Me,"Shaggy,Rikrok","Shaggy,Rikrok",Shaggy
2001,13,Stutter,"Joe,Mystikal","Joe,Mystikal",Joe
2001,14,It's Been Awhile,Staind,Staind,Staind
2001,15,U Remind Me,Usher,Usher,Usher
2001,16,Where the Party At,"Jagged Edge,Nelly","Jagged Edge,Nelly",Jagged Edge
2001,17,Angel,"Shaggy,Rayvon","Shaggy,Rayvon",Shaggy
2001,18,Ride wit Me,"Nelly,City Spud","Nelly,City Spud",Nelly
2001,19,Follow Me,Uncle Kracker,Uncle Kracker,Uncle Kracker
2001,20,Peaches & Cream,112,112,112
2001,21,Drive,Incubus,Incubus,Incubus
2001,22,What Would You Do?,City High,City High,City High
2001,23,Survivor,Destiny's Child,Destiny's Child,Destiny's Child
2001,24,Lady Marmalade,"Christina Aguilera,Lil' Kim,Mýa,Pink","Christina Aguilera,Lil' Kim,Mýa,Pink",Christina Aguilera
2001,25,Ms. Jackson,Outkast,Outkast,Outkast
2001,26,Love Don't Cost a Thing,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez
2001,27,The Way You Love Me,Faith Hill,Faith Hill,Faith Hill
2001,28,He Loves U Not,Dream,Dream,Dream
2001,29,Butterfly,Crazy Town,Crazy Town,Crazy Town
2001,30,Put It on Me,"Ja Rule,Lil' Mo,Vita","Ja Rule,Lil' Mo,Vita",Ja Rule
2001,31,Family Affair,Mary J. Blige,Mary J. Blige,Mary J. Blige
2001,32,I Hope You Dance,Lee Ann Womack,Lee Ann Womack,Lee Ann Womack
2001,33,South Side,"Moby,Gwen Stefani","Moby,Gwen Stefani",Moby
2001,34,Don't Tell Me,Madonna,Madonna,Madonna
2001,35,Get Ur Freak On,Missy Elliott,Missy Elliott,Missy Elliott
2001,36,Crazy,K-Ci & JoJo,K-Ci & JoJo,K-Ci
2001,37,Fill Me In,Craig David,Craig David,Craig David
2001,38,Someone to Call My Lover,Janet Jackson,Janet Jackson,Janet Jackson
2001,39,With Arms Wide Open,Creed,Creed,Creed
2001,40,Case of the Ex (Whatcha Gonna Do),Mýa,Mýa,Mýa
2001,41,All or Nothing,O-Town,O-Town,O-Town
2001,42,Bootylicious,Destiny's Child,Destiny's Child,Destiny's Child
2001,43,I'm Like a Bird,Nelly Furtado,Nelly Furtado,Nelly Furtado
2001,44,Kryptonite,3 Doors Down,3 Doors Down,3 Doors Down
2001,45,Fiesta,"R. Kelly,Jay-Z","R. Kelly,Jay-Z",R. Kelly
2001,46,When It's Over,Sugar Ray,Sugar Ray,Sugar Ray
2001,47,Jaded,Aerosmith,Aerosmith,Aerosmith
2001,48,Promise,Jagged Edge,Jagged Edge,Jagged Edge
2001,49,Missing You,Case,Case,Case
2001,50,Differences,Ginuwine,Ginuwine,Ginuwine
2001,51,This I Promise You,NSYNC,NSYNC,NSYNC
2001,52,Izzo (H.O.V.A.),Jay-Z,Jay-Z,Jay-Z
2001,53,Superwoman Pt. II,"Lil' Mo,Fabolous","Lil' Mo,Fabolous",Lil' Mo
2001,54,Crazy for This Girl,Evan and Jaron,Evan and Jaron,Evan
2001,55,Nobody Wants to Be Lonely,"Ricky Martin,Christina Aguilera","Ricky Martin,Christina Aguilera",Ricky Martin
2001,56,I Just Wanna Love U (Give It 2 Me),Jay-Z,Jay-Z,Jay-Z
2001,57,One Minute Man,"Missy Elliott,Ludacris","Missy Elliott,Ludacris",Missy Elliott
2001,58,Danger (Been So Long),"Mystikal,Nivea","Mystikal,Nivea",Mystikal
2001,59,Only Time,Enya,Enya,Enya
2001,60,I Do!!,Toya,Toya,Toya
2001,61,Never Had a Dream Come True,S Club 7,S Club 7,S Club 7
2001,62,Stranger in My House,Tamia,Tamia,Tamia
2001,63,Irresistible,Jessica Simpson,Jessica Simpson,Jessica Simpson
2001,64,Heard It All Before,Sunshine Anderson,Sunshine Anderson,Sunshine
2001,65,The Space Between,Dave Matthews Band,Dave Matthews Band,Dave Matthews B
2001,66,There You'll Be,Faith Hill,Faith Hill,Faith Hill
2001,67,Love,Musiq Soulchild,Musiq Soulchild,Musiq Soulchild
2001,68,It's Over Now,112,112,112
2001,69,No More (Baby I'ma Do Right),3LW,3LW,3LW
2001,70,Turn Off the Light,Nelly Furtado,Nelly Furtado,Nelly Furtado
2001,71,Ain't Nothing 'bout You,Brooks & Dunn,Brooks & Dunn,Brooks
2001,72,Play,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez
2001,73,I'm Already There,Lonestar,Lonestar,Lonestar
2001,74,My Baby,Lil' Romeo,Lil' Romeo,Lil' Romeo
2001,75,Beautiful Day,U2,U2,U2
2001,76,Austin,Blake Shelton,Blake Shelton,Blake Shelton
2001,77,Southern Hospitality,Ludacris,Ludacris,Ludacris
2001,78,Grown Men Don't Cry,Tim McGraw,Tim McGraw,Tim McGraw
2001,79,Livin' It Up,"Ja Rule,Case","Ja Rule,Case",Ja Rule
2001,80,Loverboy,"Mariah Carey,Cameo","Mariah Carey,Cameo",Mariah Carey
2001,81,Contagious,"The Isley Brothers,R. Kelly,Chanté Moore","The Isley Brothers,R. Kelly,Chanté Moore",The Isley Brothers
2001,82,Who I Am,Jessica Andrews,Jessica Andrews,Jessica
2001,83,Music,"Erick Sermon,Marvin Gaye","Erick Sermon,Marvin Gaye",Erick Sermon
2001,84,I Wanna Be Bad,Willa Ford,Willa Ford,Willa Ford
2001,85,Don't Happen Twice,Kenny Chesney,Kenny Chesney,Kenny Chesney
2001,86,One More Day,Diamond Rio,Diamond Rio,Diamond Rio
2001,87,I Wish,R. Kelly,R. Kelly,R. Kelly
2001,88,It's a Great Day to Be Alive,Travis Tritt,Travis Tritt,Travis Tritt
2001,89,I'm a Thug,Trick Daddy,Trick Daddy,Trick Daddy
2001,90,Here's to the Night,Eve 6,Eve 6,Eve 6
2001,91,You Shouldn't Kiss Me Like This,Toby Keith,Toby Keith,Toby Keith
2001,92,Get Over Yourself,Eden's Crush,Eden's Crush,Eden's Crush
2001,93,Dance with Me,Debelah Morgan,Debelah Morgan,Debelah Morgan
2001,94,"So Fresh, So Clean",Outkast,Outkast,Outkast
2001,95,E.I.,Nelly,Nelly,Nelly
2001,96,Be Like That,3 Doors Down,3 Doors Down,3 Doors Down
2001,97,Most Girls,Pink,Pink,Pink
2001,98,Oochie Wally,"QB Finest,Nas,Bravehearts","QB Finest,Nas,Bravehearts",QB Finest
2001,99,Hero,Enrique Iglesias,Enrique Iglesias,Enrique Iglesias
2001,100,Hemorrhage (In My Hands),Fuel,Fuel,Fuel
2002,1,How You Remind Me,Nickelback,Nickelback,Nickelback
2002,2,Foolish,Ashanti,Ashanti,Ashanti
2002,3,Hot in Herre,Nelly,Nelly,Nelly
2002,4,Dilemma,"Nelly,Kelly Rowland","Nelly,Kelly Rowland",Nelly
2002,5,Wherever You Will Go,The Calling,The Calling,The Calling
2002,6,A Thousand Miles,Vanessa Carlton,Vanessa Carlton,Vanessa Carlton
2002,7,In the End,Linkin Park,Linkin Park,Linkin Park
2002,8,What's Luv?,"Fat Joe,Ashanti","Fat Joe,Ashanti",Fat Joe
2002,9,U Got It Bad,Usher,Usher,Usher
2002,10,Blurry,Puddle of Mudd,Puddle of Mudd,Puddle of Mudd
2002,11,Complicated,Avril Lavigne,Avril Lavigne,Avril Lavigne
2002,12,Always on Time,"Ja Rule,Ashanti","Ja Rule,Ashanti",Ja Rule
2002,13,Ain't It Funny (Murder Remix),"Jennifer Lopez,Ja Rule","Jennifer Lopez,Ja Rule",Jennifer Lopez
2002,14,The Middle,Jimmy Eat World,Jimmy Eat World,Jimmy Eat World
2002,15,I Need a Girl (Part One),"P. Diddy,Usher,Loon","P. Diddy,Usher,Loon",P. Diddy
2002,16,U Don't Have to Call,Usher,Usher,Usher
2002,17,Family Affair,Mary J. Blige,Mary J. Blige,Mary J. Blige
2002,18,I Need a Girl (Part Two),"P. Diddy,Ginuwine,Loon,Mario Winans","P. Diddy,Ginuwine,Loon,Mario Winans",P. Diddy
2002,19,Gangsta Lovin',"Eve,Alicia Keys","Eve,Alicia Keys",Eve
2002,20,My Sacrifice,Creed,Creed,Creed
2002,21,Without Me,Eminem,Eminem,Eminem
2002,22,Hero,Enrique Iglesias,Enrique Iglesias,Enrique Iglesias
2002,23,All You Wanted,Michelle Branch,Michelle Branch,Michelle Branch
2002,24,Get the Party Started,Pink,Pink,Pink
2002,25,Hero,"Chad Kroeger,Josey Scott","Chad Kroeger,Josey Scott",Chad Kroeger
2002,26,Wasting My Time,Default,Default,Default
2002,27,One Last Breath,Creed,Creed,Creed
2002,28,"Whenever, Wherever",Shakira,Shakira,Shakira
2002,29,I'm Gonna Be Alright,"Jennifer Lopez,Nas","Jennifer Lopez,Nas",Jennifer Lopez
2002,30,Oh Boy,"Cam'ron,Juelz Santana","Cam'ron,Juelz Santana",Cam'ron
2002,31,Heaven,"DJ Sammy,Yanou,Do","DJ Sammy,Yanou,Do",DJ Sammy
2002,32,Hey Baby,"No Doubt,Bounty Killer","No Doubt,Bounty Killer",No Doubt
2002,33,Girlfriend,"NSYNC,Nelly","NSYNC,Nelly",NSYNC
2002,34,Just a Friend 2002,Mario,Mario,Mario
2002,35,Soak Up the Sun,Sheryl Crow,Sheryl Crow,Sheryl Crow
2002,36,Don't Let Me Get Me,Pink,Pink,Pink
2002,37,Nothin',N.O.R.E.,N.O.R.E.,N.O.R.E.
2002,38,Oops (Oh My),"Tweet,Missy Elliott","Tweet,Missy Elliott",Tweet
2002,39,A Moment Like This,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson
2002,40,Addictive,"Truth Hurts,Rakim","Truth Hurts,Rakim",Truth Hurts
2002,41,Happy,Ashanti,Ashanti,Ashanti
2002,42,No Such Thing,John Mayer,John Mayer,John Mayer
2002,43,Just Like a Pill,Pink,Pink,Pink
2002,44,Down 4 U,"Ja Rule,Ashanti,Charli Baltimore,Vita","Ja Rule,Ashanti,Charli Baltimore,Vita",Ja Rule
2002,45,Can't Get You Out of My Head,Kylie Minogue,Kylie Minogue,Kylie Minogue
2002,46,Superman (It's Not Easy),Five for Fighting,Five for Fighting,Five for Fighting
2002,47,Cleanin' Out My Closet,Eminem,Eminem,Eminem
2002,48,Halfcrazy,Musiq Soulchild,Musiq Soulchild,Musiq Soulchild
2002,49,"Lights, Camera, Action!",Mr. Cheeks,Mr. Cheeks,Mr. Cheeks
2002,50,Still Fly,Big Tymers,Big Tymers,Big Tymers
2002,51,A Woman's Worth,Alicia Keys,Alicia Keys,Alicia Keys
2002,52,7 Days,Craig David,Craig David,Craig David
2002,53,Hey Ma,"Cam'ron,Juelz Santana,Freekey Zekey","Cam'ron,Juelz Santana,Freekey Zekey",Cam'ron
2002,54,Work It,Missy Elliott,Missy Elliott,Missy Elliott
2002,55,Move Bitch,"Ludacris,Mystikal,I-20","Ludacris,Mystikal,I-20",Ludacris
2002,56,Can't Fight the Moonlight,LeAnn Rimes,LeAnn Rimes,LeAnn Rimes
2002,57,Escape,Enrique Iglesias,Enrique Iglesias,Enrique Iglesias
2002,58,More Than A Woman,Aaliyah,Aaliyah,Aaliyah
2002,59,Hella Good,No Doubt,No Doubt,No Doubt
2002,60,I Love You,Faith Evans,Faith Evans,Faith Evans
2002,61,Gotta Get thru This,Daniel Bedingfield,Daniel Bedingfield,Daniel Bedingfield
2002,62,"Pass the Courvoisier, Part II","Busta Rhymes,P. Diddy,Pharrell","Busta Rhymes,P. Diddy,Pharrell",Busta Rhymes
2002,63,Lose Yourself,Eminem,Eminem,Eminem
2002,64,Butterflies,Michael Jackson,Michael Jackson,Michael Jackson
2002,65,What About Us?,Brandy,Brandy,Br
2002,66,Underneath Your Clothes,Shakira,Shakira,Shakira
2002,67,Rainy Dayz,"Mary J. Blige,Ja Rule","Mary J. Blige,Ja Rule",Mary J. Blige
2002,68,Differences,Ginuwine,Ginuwine,Ginuwine
2002,69,If I Could Go!,"Angie Martinez,Lil' Mo,Sacario","Angie Martinez,Lil' Mo,Sacario",Angie Martinez
2002,70,The Whole World,"Outkast,Killer Mike","Outkast,Killer Mike",Outkast
2002,71,Underneath It All,"No Doubt,Lady Saw","No Doubt,Lady Saw",No Doubt
2002,72,Caramel,"City High,Eve","City High,Eve",City High
2002,73,Luv U Better,LL Cool J,LL Cool J,LL Cool J
2002,74,Gimme the Light,Sean Paul,Sean Paul,Sean Paul
2002,75,Gone,NSYNC,NSYNC,NSYNC
2002,76,Livin' It Up,"Ja Rule,Case","Ja Rule,Case",Ja Rule
2002,77,Rollout (My Business),Ludacris,Ludacris,Ludacris
2002,78,Here Is Gone,Goo Goo Dolls,Goo Goo Dolls,Goo Goo Dolls
2002,79,No More Drama,Mary J. Blige,Mary J. Blige,Mary J. Blige
2002,80,Days Go By,Dirty Vegas,Dirty Vegas,Dirty Vegas
2002,81,Baby,Ashanti,Ashanti,Ashanti
2002,82,The Good Stuff,Kenny Chesney,Kenny Chesney,Kenny Chesney
2002,83,We Thuggin',"Fat Joe,R. Kelly","Fat Joe,R. Kelly",Fat Joe
2002,84,Good Morning Beautiful,Steve Holy,Steve Holy,Steve Holy
2002,85,Rock the Boat,Aaliyah,Aaliyah,Aaliyah
2002,86,Drive (For Daddy Gene),Alan Jackson,Alan Jackson,Alan Jackson
2002,87,Standing Still,Jewel,Jewel,Jewel
2002,88,Jaheim,Next,Next,Ne
2002,89,Full Moon,Brandy,Brandy,Br
2002,90,Uh Huh,B2K,B2K,B2K
2002,91,A New Day Has Come,Celine Dion,Celine Dion,Celine Dion
2002,92,Turn Off the Light,Nelly Furtado,Nelly Furtado,Nelly Furtado
